ax,ay,az,gx,gy,gz,time
-0.63,-0.4,10.63,0.04,0.04,-0.16,1771658354.91071
-0.48,0.05,10.06,-0.03,0.04,-0.17,1771658354.910879
-0.48,0.05,10.06,-0.01,-0.0,-0.15,1771658354.911032
-0.23,-0.43,9.68,0.12,0.04,-0.03,1771658354.911165
0.3,-0.73,9.4,0.19,0.06,0.06,1771658354.911315
0.3,-0.73,9.4,0.22,0.06,0.15,1771658354.911757
-0.5,0.04,9.46,0.19,0.01,0.16,1771658354.9121652
-0.91,0.03,9.35,0.15,-0.06,0.15,1771658354.912406
-0.98,0.28,9.18,0.11,-0.1,0.17,1771658354.912582
-0.98,0.28,9.18,0.04,-0.06,0.18,1771658354.912746
-1.23,0.39,8.69,0.01,0.05,0.14,1771658354.913146
-1.83,-0.05,7.67,-0.01,0.11,0.04,1771658354.9136698
-1.83,-0.05,7.67,-0.06,0.02,0.09,1771658354.913814
-1.13,0.12,7.95,-0.11,-0.05,0.12,1771658354.914028
-0.93,-0.05,7.97,-0.13,-0.07,0.08,1771658354.9141471
0.23,-1.14,9.63,-0.17,-0.05,0.09,1771658354.91426
0.23,-1.14,9.63,-0.2,-0.02,0.12,1771658354.914371
0.18,-0.26,9.89,-0.21,0.16,0.01,1771658354.914476
0.44,0.44,14.44,0.21,0.26,-0.22,1771658354.914617
0.44,0.44,14.44,0.21,0.15,-0.19,1771658354.914732
-0.05,0.46,14.22,0.18,0.0,-0.17,1771658354.91484
-1.03,-0.18,12.03,0.15,-0.05,-0.27,1771658354.914953
-1.03,-0.18,12.03,0.14,0.01,-0.24,1771658354.915062
-1.28,0.01,10.6,0.1,-0.01,-0.15,1771658354.915191
-1.82,-0.27,8.31,0.21,0.05,-0.1,1771658354.915305
-1.4,-0.64,7.02,0.26,0.12,-0.07,1771658354.915413
-1.4,-0.64,7.02,0.2,0.13,-0.01,1771658354.915521
-1.57,-0.34,6.81,-0.01,0.11,0.07,1771658354.915634
-1.28,0.21,6.77,-0.13,0.03,0.16,1771658354.915738
-1.28,0.21,6.77,-0.26,-0.09,0.2,1771658354.9158459
-1.58,0.41,6.62,-0.33,-0.08,0.07,1771658354.9159548
-0.57,-0.43,8.57,-0.31,0.02,0.02,1771658354.916066
-0.57,-0.43,8.57,-0.28,0.12,0.03,1771658354.916173
1.33,-0.36,12.86,0.04,0.31,0.02,1771658354.916276
1.58,-0.23,16.59,0.23,0.25,-0.05,1771658354.916384
1.6,0.62,16.79,0.22,0.08,-0.08,1771658354.916491
1.6,0.62,16.79,0.12,-0.33,-0.08,1771658354.9166012
0.79,0.35,12.11,0.18,-0.38,-0.14,1771658354.916712
-0.22,-0.1,7.58,0.43,-0.61,0.1,1771658354.9168189
-0.22,-0.1,7.58,0.55,-0.69,0.16,1771658354.916928
-2.08,0.26,6.08,0.58,-0.64,0.15,1771658354.9170291
-2.61,0.55,6.13,0.23,-0.46,0.11,1771658354.917123
-3.61,0.39,5.42,-0.02,-0.32,0.08,1771658354.9172192
-3.61,0.39,5.42,-0.21,-0.18,0.11,1771658354.917315
-2.88,0.48,5.01,-0.45,0.08,0.32,1771658354.917407
-1.39,-1.68,7.37,-0.5,0.29,0.17,1771658354.9175029
-1.39,-1.68,7.37,-0.35,0.56,-0.08,1771658354.9176
2.53,-2.83,9.65,0.0,0.85,-0.47,1771658354.9176939
3.97,0.08,20.04,0.47,0.57,-0.39,1771658354.9177868
3.97,0.08,20.04,0.29,0.58,-0.39,1771658354.917879
1.82,1.61,18.03,0.16,-0.26,-0.18,1771658354.917998
