emg,ax,ay,az,gx,gy,gz,time
3217.0,-0.18,0.0,9.96,0.02,0.01,-0.0,1771668805.547509
18266.0,-0.08,-0.01,10.01,0.01,0.01,0.0,1771668805.547677
19621.0,-0.11,-0.01,9.97,0.01,0.01,0.0,1771668805.5478332
4410.0,-0.11,-0.01,9.97,0.01,0.01,-0.0,1771668805.54799
9081.0,-0.14,0.04,9.96,0.01,0.01,-0.0,1771668805.54817
24164.0,-0.12,0.01,10.01,0.01,0.01,-0.0,1771668805.548337
13889.0,-0.12,0.01,10.01,0.01,0.01,-0.0,1771668805.5484958
856.0,-0.11,0.07,9.91,0.01,0.01,-0.0,1771668805.54865
15010.0,-0.1,0.05,9.97,0.01,0.01,-0.01,1771668805.5488288
23325.0,-0.1,0.05,9.97,0.01,0.01,-0.0,1771668805.5489678
8217.0,-0.07,0.07,9.97,0.01,0.01,-0.0,1771668805.5491042
5931.0,-0.13,0.04,10.0,0.01,0.01,0.0,1771668805.549249
20948.0,-0.13,0.04,10.0,0.01,0.01,0.0,1771668805.5493948
17404.0,-0.1,0.03,9.99,0.02,0.01,0.0,1771668805.54953
2132.0,-0.09,0.04,10.03,0.01,0.01,0.0,1771668805.5496871
11614.0,-0.09,0.04,10.03,0.01,0.01,-0.0,1771668805.549898
25148.0,-0.11,0.04,9.99,0.01,0.01,-0.0,1771668805.55005
11394.0,-0.11,0.04,9.99,0.01,0.01,-0.0,1771668805.550205
2284.0,-0.1,0.02,9.93,0.01,0.01,-0.0,1771668805.550346
17290.0,-0.12,0.03,9.95,0.01,0.01,0.0,1771668805.550488
20650.0,-0.12,0.03,9.95,0.01,0.01,-0.0,1771668805.550632
5461.0,-0.11,0.02,9.97,0.02,0.02,0.0,1771668805.550883
8251.0,-0.1,0.0,10.0,0.01,0.01,-0.0,1771668805.551195
23282.0,-0.1,0.0,10.0,0.01,0.01,0.0,1771668805.551369
14752.0,-0.13,0.02,9.91,0.01,0.01,-0.0,1771668805.551577
676.0,-0.12,0.05,9.93,0.01,0.01,-0.0,1771668805.551733
13920.0,-0.12,0.05,9.93,0.01,0.01,-0.0,1771668805.551899
24091.0,-0.1,0.03,9.98,0.01,0.01,-0.0,1771668805.552068
9149.0,-0.15,0.0,9.99,0.01,0.01,-0.0,1771668805.5522282
4921.0,-0.15,0.0,9.99,0.01,0.01,0.0,1771668805.5523899
20028.0,-0.16,0.03,9.95,0.01,0.01,0.0,1771668805.552551
18529.0,-0.06,0.03,9.98,0.01,0.01,0.0,1771668805.552711
3167.0,-0.06,0.03,9.98,0.01,0.01,0.0,1771668805.552842
10722.0,-0.06,0.08,10.0,0.01,0.01,-0.0,1771668805.552984
25035.0,-0.11,0.05,9.97,0.01,0.01,-0.0,1771668805.553247
12396.0,-0.11,0.05,9.97,0.01,0.01,-0.0,1771668805.553442
1535.0,-0.08,0.11,9.93,0.01,0.01,0.0,1771668805.5535738
16369.0,-0.12,0.04,9.93,0.01,0.01,-0.0,1771668805.5537121
21688.0,-0.12,0.04,9.93,0.01,0.01,-0.0,1771668805.553857
6465.0,-0.1,0.04,9.98,0.01,0.01,0.0,1771668805.553996
7211.0,-0.1,0.04,9.98,0.01,0.01,0.0,1771668805.5541272
22223.0,-0.06,0.03,9.94,0.01,0.01,-0.0,1771668805.554324
15637.0,-0.06,0.1,9.99,0.01,0.01,0.01,1771668805.5544581
951.0,-0.06,0.1,9.99,0.01,0.02,-0.0,1771668805.554589
13006.0,-0.11,0.05,9.96,0.01,0.01,-0.0,1771668805.5547361
24792.0,-0.08,0.05,9.99,0.02,0.01,-0.01,1771668805.55488
10229.0,-0.08,0.05,9.99,0.01,0.01,-0.0,1771668805.555016
3959.0,-0.17,0.02,10.0,0.01,0.01,-0.0,1771668805.5551848
19041.0,-0.1,0.04,9.96,0.01,0.02,-0.0,1771668805.55533
19463.0,-0.1,0.04,9.96,0.02,0.01,-0.0,1771668805.555479
4193.0,-0.1,0.06,9.96,0.01,0.02,0.0,1771668805.555608
9765.0,-0.09,0.03,10.04,0.01,0.01,-0.0,1771668805.555753
24569.0,-0.09,0.03,10.04,0.01,0.01,-0.0,1771668805.555894
13450.0,-0.05,0.04,9.94,0.01,0.01,0.0,1771668805.5560288
960.0,-0.11,0.02,10.01,0.01,0.01,-0.0,1771668805.5561721
15394.0,-0.11,0.02,10.01,0.01,0.01,0.0,1771668805.5563169
22684.0,-0.09,0.04,9.96,0.01,0.01,0.0,1771668805.5564501
7409.0,-0.12,0.06,9.97,0.01,0.01,-0.0,1771668805.556585
6145.0,-0.12,0.06,9.97,0.02,0.01,-0.0,1771668805.5567229
21194.0,-0.08,0.03,9.96,0.01,0.01,-0.0,1771668805.5568588
16633.0,-0.1,0.08,9.98,0.01,0.01,-0.0,1771668805.557036
1579.0,-0.1,0.08,9.98,0.01,0.01,-0.0,1771668805.55729
12002.0,-0.09,0.09,9.98,0.02,0.01,0.0,1771668805.557463
25110.0,-0.09,0.09,9.98,0.01,0.01,0.0,1771668805.557777
11062.0,-0.14,0.0,9.97,0.02,0.01,-0.0,1771668805.558027
2896.0,-0.11,0.02,9.96,0.02,0.01,-0.0,1771668805.558292
18093.0,-0.11,0.02,9.96,0.01,0.02,-0.0,1771668805.558434
20583.0,-0.09,0.07,9.94,0.02,0.01,-0.0,1771668805.558572
5357.0,-0.1,0.05,9.97,0.01,0.01,-0.0,1771668805.5587032
8901.0,-0.1,0.05,9.97,0.01,0.01,-0.0,1771668805.558835
23901.0,-0.11,0.05,9.92,0.01,0.02,-0.0,1771668805.5589561
14441.0,-0.09,0.05,9.95,0.01,0.01,0.0,1771668805.559072
700.0,-0.09,0.05,9.95,0.01,0.01,0.0,1771668805.5591931
14337.0,-0.06,0.03,9.94,0.01,0.02,-0.0,1771668805.559315
23641.0,-0.05,0.04,9.96,0.01,0.01,-0.0,1771668805.5594518
8534.0,-0.05,0.04,9.96,0.02,0.01,-0.0,1771668805.559575
5215.0,-0.07,0.09,10.0,0.01,0.01,0.0,1771668805.559691
20300.0,-0.09,0.06,9.95,0.01,0.01,0.01,1771668805.559805
17842.0,-0.09,0.06,9.95,0.01,0.01,-0.0,1771668805.559925
2551.0,-0.08,0.07,9.99,0.01,0.01,-0.0,1771668805.560048
11139.0,-0.13,0.05,9.98,0.01,0.01,-0.0,1771668805.560173
25194.0,-0.13,0.05,9.98,0.01,0.01,0.0,1771668805.560289
12067.0,-0.1,0.07,10.01,0.02,0.01,-0.0,1771668805.560416
